SNO,Instance Name,Number of Nodes,Number of Edges,Number of Required Edges,Capacity,Total UAVs,Number of Depot Nodes,Multi-trip Algorithm Execution Time,Multi-trip Algorithm Maximum Trip Time,Mean Simulated Annealing Maximum Trip Time,STDEV Simulated Annealing Maximum Trip Time,Best Simulated Annealing Maximum Trip Time,Mean Execution Time Simulated Annealing-500,STDEV Execution Time Simulated Annealing-500,Best Execution Time Simulated Annealing-500
1,eglese.1,77,98,49,184,12,12,4.24,675,659.25,12.66046998,641,34.2959,4.259407716,30.353
2,eglese.2,77,98,49,184,12,12,6.237,675,655.05,12.26570422,641,49.7956,3.390484956,45.532
3,eglese.3,77,98,49,184,12,12,6.273,675,657.05,12.05186708,639,48.29535,2.534772914,45.112
4,eglese.4,77,98,49,184,12,12,6.579,675,662.25,12.0701077,641,51.1313,2.532290072,47.68
5,eglese.5,77,98,49,184,12,12,5.427,677,672.75,1.785357107,672,55.21055,1.716199128,51.401
6,eglese.6,77,98,49,184,12,12,5.288,677,673.25,2.165063509,672,54.17815,2.236838825,50.444
7,eglese.7,77,98,49,184,12,12,5.39,677,673.6,2.26715681,672,53.95875,2.058025507,50.152
8,eglese.8,77,98,49,184,12,12,5.377,677,674,2.449489743,672,53.7487,1.757175008,49.449
9,eglese.9,77,98,49,184,12,12,5.429,677,674.3,2.451530134,672,53.9471,1.701785941,51.103
10,eglese.10,77,98,49,184,12,12,3.555,677,673.5,2.291287847,672,36.41645,1.68493301,34.368
11,eglese.11,77,98,49,184,12,12,3.722,698,674.6,12.27354879,657,31.92905,1.166130202,29.989
12,eglese.12,77,98,49,184,12,12,3.723,698,675.55,12.57567096,657,31.92075,1.923720896,29.296
13,eglese.13,77,98,49,184,12,12,3.705,698,679.95,12.71799906,657,31.7535,1.432141351,29.488
14,eglese.14,77,98,49,184,12,12,3.712,698,677.15,13.2826014,657,31.23815,1.800301871,28.747
15,eglese.15,77,98,49,184,12,12,3.727,698,672.9,12.4334227,657,30.9945,1.029527877,28.641
16,eglese.16,77,98,49,184,12,12,4.316,720,718.2,0.6,718,34.1716,1.666638845,31.793
17,eglese.17,77,98,49,184,12,12,4.291,720,718.1,0.435889894,718,33.7531,1.005541938,31.41
18,eglese.18,77,98,49,184,12,12,4.288,720,718.4,0.8,718,33.52895,0.973054596,31.657
19,eglese.19,77,98,49,184,12,12,4.285,720,718.2,0.6,718,33.6265,1.007515384,32.215
20,eglese.20,77,98,49,184,12,12,4.294,720,718.3,0.714142843,718,33.64755,0.869907839,32.344
21,eglese.21,77,98,49,184,12,12,4.207,1178,1142.85,14.93745293,1129,44.9559,1.606724024,41.79
22,eglese.22,77,98,49,184,12,12,4.208,1178,1143.55,15.28226096,1133,44.13585,3.355492308,39.376
23,eglese.23,77,98,49,184,12,12,4.211,1178,1144.65,16.29194586,1133,44.8222,1.957085782,41.721
24,eglese.24,77,98,49,184,12,12,4.232,1178,1143.35,15.84700287,1133,45.7929,2.308796329,40.383
25,eglese.25,77,98,49,184,12,12,4.209,1178,1149.05,18.1120816,1134,43.7174,2.471474001,38.118
26,eglese.26,77,98,49,184,12,12,4.847,1155,1109,91.83245614,715,35.30665,1.261096359,33.154
27,eglese.27,77,98,49,184,12,12,4.872,1155,1090.35,115.3864268,715,36.6457,1.702395991,33.969
28,eglese.28,77,98,49,184,12,12,4.866,1155,1127.9,21.99522675,1083,35.18225,1.412945996,33.454
29,eglese.29,77,98,49,184,12,12,4.522,1107,1024.25,154.3894022,717,34.48355,2.005350729,31.11
30,eglese.30,77,98,49,184,12,12,4.524,1107,1068.8,114.6279198,717,34.4946,1.93036855,31.102
31,eglese.31,77,98,49,184,12,12,4.546,1107,1046.65,138.5962752,717,34.433,2.141024498,30.802
32,eglese.32,77,98,49,184,12,12,4.482,1107,1008.9,166.8214315,717,34.52605,1.560018573,31.565
33,eglese.33,77,98,49,184,12,12,3.655,692,692,0,692,38.76735,1.20695146,36.454
34,eglese.34,77,98,49,184,12,12,3.653,692,692,0,692,38.5345,1.080524525,37.284
35,eglese.35,77,98,49,184,12,12,3.64,692,690.6,6.102458521,664,39.00025,1.137483313,37.065
36,eglese.36,77,98,49,184,12,12,3.66,692,692,0,692,38.67055,1.123369506,37.138
37,eglese.37,77,98,49,184,12,12,3.639,692,692,0,692,39.02475,1.321354263,37.171
38,eglese.38,77,98,49,184,12,12,4.521,1122,1121.65,0.726291952,1120,41.77535,2.00129139,38.679
39,eglese.39,77,98,49,184,12,12,4.489,1122,1121.2,0.979795897,1120,42.64425,2.897067291,39.073
40,eglese.40,77,98,49,184,12,12,4.492,1122,1121.6,0.8,1120,41.6844,1.933501989,36.957
41,eglese.41,77,98,49,184,12,12,4.489,1122,1121.45,0.864580823,1120,42.3817,2.394927621,37.117
42,eglese.42,77,98,49,184,12,12,4.565,1122,1120.8,3.264965543,1107,42.83935,1.880495314,39.845
43,eglese.43,77,98,49,184,12,12,3.924,684,667.1,6.449030935,655,32.45875,0.961190973,30.626
44,eglese.44,77,98,49,184,12,12,3.94,684,666.55,4.352872615,665,32.5014,1.260865314,30.502
45,eglese.45,77,98,49,184,12,12,3.937,684,666.55,7.003392035,649,32.34185,1.001301816,30.686
46,eglese.46,77,98,49,184,12,12,3.954,684,668.1,8.148005891,648,32.09955,1.160729016,29.745
47,eglese.47,77,98,49,184,12,12,3.902,684,667.9,6.065476074,665,32.5605,1.401964033,30.853
48,eglese.48,77,98,49,184,12,12,4.024,692,692,0,692,34.78615,1.740389016,31.462
49,eglese.49,77,98,49,184,12,12,4.01,692,692,0,692,35.3045,1.350646938,32.696
50,eglese.50,77,98,49,184,12,12,4.003,692,692,0,692,34.7973,1.752021121,30.765
51,eglese.51,77,98,49,184,12,12,4.001,692,692,0,692,35.0638,1.611406268,30.641
52,eglese.52,77,98,49,184,12,12,3.998,692,692,0,692,35.78745,1.305086452,32.321
53,eglese.53,140,190,95,206,9,9,20.255,2461,2439,18.66279722,2418,96.94985,4.578839124,87.636
54,eglese.54,140,190,95,206,9,9,20.216,2461,2433.7,16.80803379,2418,96.8323,4.032442636,89.561
55,eglese.55,140,190,95,206,9,9,20.228,2461,2439.95,16.8685358,2418,96.0462,3.536647404,86.773
56,eglese.56,140,190,95,206,9,9,20.181,2461,2437.05,16.62069493,2418,96.5035,5.39713618,88.07
57,eglese.57,140,190,95,206,9,9,20.076,2461,2434.35,14.96754823,2418,97.4553,5.137152617,89.254
58,eglese.58,140,190,95,206,9,9,22.07,2518,2508.6,18.81595068,2447,113.89585,4.549990541,104.76
59,eglese.59,140,190,95,206,9,9,22.069,2518,2512.4,11.42541028,2482,112.03645,4.922163645,103.583
60,eglese.60,140,190,95,206,9,9,22.032,2518,2509.5,14.09787218,2469,112.3933,6.799415865,101.105
61,eglese.61,140,190,95,206,9,9,22.134,2518,2511.85,10.79479041,2491,112.0959,7.01379609,95.724
62,eglese.62,140,190,95,206,9,9,22.386,2518,2510.45,11.91417223,2484,111.30655,6.000132394,102.032
63,eglese.63,140,190,95,206,9,9,19.959,2522,2522,0,2522,104.93605,2.469954847,98.789
64,eglese.64,140,190,95,206,9,9,19.923,2522,2522,0,2522,104.56445,2.473838141,97.938
65,eglese.65,140,190,95,206,9,9,19.916,2522,2522,0,2522,104.07055,2.863914096,97.265
66,eglese.66,140,190,95,206,9,9,19.905,2522,2522,0,2522,105.10775,3.496309824,98.015
67,eglese.67,140,190,95,206,9,9,19.941,2522,2522,0,2522,104.8543,2.937689093,99.232
68,eglese.68,140,190,95,206,9,9,20.057,2556,2556,0,2556,100.2548,3.07719755,92.6
69,eglese.69,140,190,95,206,9,9,20.097,2556,2556,0,2556,100.06745,2.684146149,94.165
70,eglese.70,140,190,95,206,9,9,20.082,2556,2556,0,2556,102.1454,3.371835545,97.206
71,eglese.71,140,190,95,206,9,9,20.037,2556,2556,0,2556,99.6597,3.05274285,92.011
72,eglese.72,140,190,95,206,9,9,20.202,2556,2556,0,2556,99.9085,3.221742285,92.906
73,eglese.73,140,190,95,206,9,9,21.226,2552,2525.85,8.707898713,2506,121.98615,4.543554647,110.905
74,eglese.74,140,190,95,206,9,9,21.085,2552,2523.35,8.878485231,2496,123.08835,3.651338293,111.499
75,eglese.75,140,190,95,206,9,9,21.133,2552,2527.85,3.705064102,2527,124.38325,2.761796587,113.979
76,eglese.76,140,190,95,206,9,9,21.216,2552,2526.85,4.607331115,2511,123.01375,4.403556345,111.822
77,eglese.77,140,190,95,206,9,9,21.136,2552,2527.35,6.043798474,2521,122.5296,3.659202309,114.744
78,eglese.78,140,190,95,206,9,9,19.79,2562,2562,0,2562,91.75545,2.738830051,86.531
79,eglese.79,140,190,95,206,9,9,19.759,2562,2562,0,2562,90.90805,3.89808106,86.673
80,eglese.80,140,190,95,206,9,9,19.764,2562,2562,0,2562,91.5148,2.837389938,86.166
81,eglese.81,140,190,95,206,9,9,20.191,2562,2562,0,2562,95.01635,3.751800305,89.682
82,eglese.82,140,190,95,206,9,9,20.256,2562,2562,0,2562,95.2579,4.034785904,89.42
83,eglese.83,140,190,95,206,9,9,22.114,2521,2514.5,4.769696007,2511,100.8959,3.529220493,96.066
84,eglese.84,140,190,95,206,9,9,22.21,2521,2513.25,4.121589499,2508,102.29575,7.299313337,94.796
85,eglese.85,140,190,95,206,9,9,22.2,2521,2513.05,3.98089186,2511,98.6869,7.299407297,89.484
86,eglese.86,140,190,95,206,9,9,21.294,2521,2515.85,4.871088174,2511,99.3187,8.662619218,89.225
87,eglese.87,140,190,95,206,9,9,21.518,2521,2515.2,5.316013544,2508,100.89875,9.797397036,89.16
88,eglese.88,140,190,95,206,9,9,19.898,2521,2516,0,2516,94.9882,3.185714184,89.46
89,eglese.89,140,190,95,206,9,9,19.892,2521,2516,0,2516,94.2066,2.887956984,90.313
90,eglese.90,140,190,95,206,9,9,19.83,2521,2516,0,2516,94.2691,2.985209103,90.845
91,eglese.91,140,190,95,206,9,9,19.793,2521,2516,0,2516,94.0806,2.01039905,89.76
92,eglese.92,140,190,95,206,9,9,19.971,2521,2516,0,2516,94.93015,1.758802754,90.954
93,eglese.93,140,190,95,206,9,9,21.097,3031,2861.75,187.2452603,2541,107.1462,4.742947697,98.529
94,eglese.94,140,190,95,206,9,9,20.719,3031,2816.45,183.3077944,2538,108.023,4.735517321,98.553
95,eglese.95,140,190,95,206,9,9,20.906,3031,2807.9,176.9267928,2520,106.04445,4.4706701,97.873
96,eglese.96,140,190,95,206,9,9,20.981,3031,2785.55,207.6758231,2520,106.6651,5.168403041,95.025
97,eglese.97,140,190,95,206,9,9,21.408,3031,2836.8,197.7788159,2520,107.883,3.588552034,102.367
98,eglese.98,140,190,95,206,9,9,19.643,2605,2605,0,2605,124.9454,3.643789805,114.803
99,eglese.99,140,190,95,206,9,9,19.427,2605,2605,0,2605,123.08115,3.832177009,113.017
100,eglese.100,140,190,95,206,9,9,19.955,2605,2605,0,2605,138.18625,32.9963039,118.055
101,eglese.101,140,190,95,206,9,9,19.9,2605,2605,0,2605,142.39175,24.7738264,114.766
102,eglese.102,140,190,95,206,9,9,19.452,2605,2605,0,2605,130.2029,20.92833097,115.774
103,eglese.103,140,190,95,206,9,9,21.823,2548,2546.9,4.794788838,2526,106.60125,4.344944475,94.308
104,eglese.104,140,190,95,206,9,9,21.8,2548,2546.2,5.54616985,2526,106.14175,3.499988798,94.825
105,eglese.105,140,190,95,206,9,9,21.86,2548,2543.6,8.8,2526,105.166,4.094436103,95.877
106,eglese.106,140,190,95,206,9,9,21.812,2548,2543,8.888194417,2526,103.5703,5.577341635,92.634
107,eglese.107,140,190,95,206,9,9,21.855,2548,2542.5,9.526279442,2526,106.1756,4.176010433,96.233
108,eglese.108,140,190,95,206,9,9,21.16,2380,2380,0,2380,98.4465,3.006448278,90.78
109,eglese.109,140,190,95,206,9,9,21.187,2380,2380,0,2380,97.71075,3.236916092,88.74
110,eglese.110,140,190,95,206,9,9,21.142,2380,2380,0,2380,97.1216,3.621676744,89.367
111,eglese.111,140,190,95,206,9,9,21.232,2380,2380,0,2380,97.76205,2.341207348,90.704
112,eglese.112,140,190,95,206,9,9,21.185,2380,2380,0,2380,97.73485,3.14947042,90.871
